13817933,81390838,Entire home/apt,Merivale,3,5.0,6,3.0,2.0,172.618307
8802481,15744972,Entire home/apt,Riccarton,8,4.5,6,3.0,3.0,172.610484
10284027,52896447,Private room,Ferrymead,25,5.0,2,1.0,1.0,172.690001
5414245,28009020,Private room,Linwood,66,4.5,2,1.0,1.0,172.656962
10772286,55065476,Entire home/apt,Lyttelton,34,5.0,2,0.0,1.0,172.716698
2238148,6155840,Entire home/apt,Styx Mill,94,5.0,2,1.0,2.0,172.614141
12174722,12374893,Entire home/apt,Linwood,12,5.0,4,2.0,2.0,172.652329
6066847,18171177,Entire home/apt,Sumner,36,4.5,4,1.0,1.0,172.773112
9159486,12074259,Private room,Jellie Park,64,5.0,4,1.0,1.0,172.575357
2198811,6017715,Entire home/apt,Hillmorton,56,4.5,2,1.0,1.0,172.588995
1095260,6017715,Private room,Hillmorton,64,4.5,2,1.0,1.0,172.589278
10046200,40346134,Private room,Hagley Park,26,5.0,2,1.0,1.0,172.630407
6676910,34943562,Entire home/apt,Sydenham,14,4.5,2,1.0,2.0,172.638089
11794904,62311039,Private room,Belfast South,6,5.0,2,1.0,1.0,172.620236
14157495,74570513,Private room,Phillipstown,3,5.0,2,1.0,1.0,172.655495
7751595,40754323,Private room,Hoon Hay,27,4.5,2,1.0,1.0,172.608888
658808,3322575,Private room,Strowan,100,5.0,2,1.0,1.0,172.608208
6483499,29973513,Private room,St Albans East,21,5.0,1,1.0,7.0,172.633793
10071294,28992903,Entire home/apt,Sockburn,10,4.5,5,3.0,1.0,172.551854
9454870,48995796,Entire home/apt,St Albans West,35,5.0,4,2.0,2.0,172.624901
8848097,46333734,Private room,St Albans West,6,5.0,2,1.0,1.0,172.628678
8640014,45424461,Private room,Avonhead,63,5.0,2,1.0,1.0,172.557765
13832603,12097349,Entire home/apt,Avon Loop,9,5.0,2,1.0,1.0,172.643786
9015847,448129,Private room,Mona Vale,13,5.0,2,1.0,2.0,172.604419
8465817,29973513,Private room,Addington,7,4.5,1,1.0,2.0,172.624672
2920256,14908770,Private room,Addington,32,5.0,2,1.0,2.0,172.616975
7604566,4599856,Entire home/apt,Cathedral Square,66,5.0,2,1.0,1.0,172.636694
8993137,46974382,Private room,Cashmere West,10,5.0,2,1.0,1.0,172.630414
10969566,55183024,Entire home/apt,Oaklands West,4,5.0,16,8.0,1.0,172.559093
4680718,24205506,Entire home/apt,Merivale,15,4.5,4,2.0,2.0,172.621745
7619520,39963337,Private room,Wainoni,38,5.0,3,1.0,1.0,172.683212
5086078,21226430,Private room,Mt Pleasant,11,5.0,2,1.0,1.0,172.722489
12387774,58500737,Entire home/apt,Edgeware,3,5.0,4,2.0,1.0,172.648738
13632399,4606077,Private room,Edgeware,4,5.0,2,1.0,2.0,172.645444
2374084,10024497,Private room,Phillipstown,120,4.5,2,1.0,2.0,172.657517
8744156,29406849,Private room,Holmwood,6,4.5,4,1.0,1.0,172.610879
10011335,43239106,Private room,Harewood,3,4.5,4,1.0,1.0,172.571823
1841463,6353005,Entire home/apt,Mt Pleasant,8,5.0,4,2.0,3.0,172.720557
6173680,29973513,Private room,St Albans West,13,4.5,2,1.0,2.0,172.631983
5281362,9270165,Private room,Merrin,77,5.0,2,1.0,1.0,172.562017
10503500,40234999,Entire home/apt,St Albans East,19,4.5,4,3.0,2.0,172.640156
6926868,35351889,Entire home/apt,Ilam,16,4.5,8,6.0,2.0,172.563164
7940958,41879853,Entire home/apt,Belfast,27,4.5,4,2.0,1.0,172.62314
12889215,3232554,Private room,Rawhiti,8,5.0,2,1.0,1.0,172.729111
5968538,13289099,Private room,Edgeware,3,5.0,2,1.0,2.0,172.644746
2488845,8014835,Entire home/apt,Cathedral Square,28,5.0,4,2.0,1.0,172.638276
2572267,13171208,Entire home/apt,Bishopdale North,17,5.0,8,4.0,2.0,172.583687
5376419,27873077,Private room,Mona Vale,4,5.0,2,1.0,1.0,172.605036
11306741,59114316,Entire home/apt,Cathedral Square,3,5.0,6,3.0,2.0,172.618683
8229695,43398377,Entire home/apt,Edgeware,37,5.0,4,2.0,1.0,172.643116
7900002,37177745,Private room,Waimairi Beach,9,5.0,2,1.0,1.0,172.711055
11640887,61713962,Entire home/apt,Riccarton,9,5.0,6,4.0,5.0,172.609601
6645140,34398370,Private room,Sydenham,113,5.0,2,1.0,1.0,172.638063
10994737,24205506,Entire home/apt,Sydenham,5,5.0,6,3.0,2.0,172.637955
4868446,25042587,Entire home/apt,Papanui,37,5.0,6,3.0,1.0,172.608173
13818428,73279211,Private room,Wigram,9,4.5,2,1.0,1.0,172.536042
2142903,4235003,Entire home/apt,Moncks Bay,219,5.0,2,1.0,1.0,172.735694
7703512,40351138,Entire home/apt,Ilam,12,5.0,11,3.0,1.0,172.56407
7697224,32927997,Private room,Avon Loop,11,4.5,2,1.0,1.0,172.64045
4862797,25013424,Entire home/apt,Russley,18,4.5,4,2.0,2.0,172.555497
13361551,63986978,Private room,Addington,7,4.5,2,1.0,1.0,172.612332
5469849,28369985,Private room,Belfast South,138,5.0,2,1.0,1.0,172.613178
11481766,3407891,Entire home/apt,Addington,6,5.0,2,2.0,1.0,172.624127
5633296,18542986,Entire home/apt,Sumner,56,5.0,2,1.0,2.0,172.760981
11778184,54547387,Private room,South Brighton,13,5.0,2,1.0,1.0,172.742613
9333358,48441021,Private room,Waltham,25,5.0,1,1.0,1.0,172.64995
12832942,70045157,Entire home/apt,St Albans West,5,5.0,2,0.0,1.0,172.6245
13547282,77973131,Private room,Halswell South,5,5.0,2,1.0,1.0,172.566498
10793317,1368723,Entire home/apt,Edgeware,41,5.0,7,2.0,1.0,172.644882
11622644,61555759,Private room,Styx Mill,3,5.0,2,1.0,1.0,172.61025
1070001,938000,Private room,St Martins,87,4.5,3,1.0,1.0,172.649038
4915043,25310822,Private room,Avondale,44,5.0,3,1.0,1.0,172.690119
11530694,52024385,Private room,Woolston South,5,4.5,2,1.0,1.0,172.672512
3468541,15484405,Entire home/apt,South Brighton,15,4.5,2,1.0,1.0,172.751126
2210246,11274320,Private room,Strowan,7,5.0,4,1.0,2.0,172.608118
5671489,24205506,Entire home/apt,Jellie Park,14,4.5,14,5.0,2.0,172.59186
6784780,7468316,Entire home/apt,Merivale,8,5.0,5,2.0,2.0,172.622985
9373485,48502039,Private room,New Brighton,5,4.0,2,1.0,1.0,172.728121
12795331,69686464,Private room,Sydenham,12,4.0,2,1.0,1.0,172.641189
9136458,47583337,Private room,Aorangi,35,4.5,2,1.0,1.0,172.595848
11640971,57443246,Private room,Opawa,5,4.5,2,1.0,3.0,172.665546
2527858,9490142,Private room,Avonhead West,35,5.0,3,1.0,1.0,172.542617
8004549,29973513,Private room,Addington,11,5.0,2,1.0,4.0,172.624072
8071710,11126176,Private room,Phillipstown,48,5.0,2,1.0,2.0,172.660054
11364864,59541504,Private room,Addington,5,4.5,4,1.0,1.0,172.627285
6081230,27753734,Private room,Addington,5,5.0,1,1.0,3.0,172.620593
11025684,46263627,Entire home/apt,Travis Wetland,20,4.5,2,1.0,2.0,172.685435
10386149,46315953,Private room,Heathcote Valley,10,5.0,2,1.0,2.0,172.70418
10293131,52953757,Entire home/apt,Bishopdale North,19,5.0,4,2.0,1.0,172.578534
10416106,53641016,Entire home/apt,Phillipstown,24,5.0,4,2.0,1.0,172.658798
12525437,12788715,Private room,Addington,19,5.0,3,1.0,1.0,172.617592
